season,adp_name,adp_team,adp_overall,adp_rb_rank,adp_start_date,adp_end_date,adp_drafts,ppr_points,ppr_ppg,games,actual_rb_rank,rank_outperformance,adp_expected_ppr,adp_residual_ppr,workload_expected_ppr,workload_residual_ppr,prior_available,prior_carries,prior_targets,prior_touches,prior_touch_share,prior_target_share,prior_i20_carries,prior_i10_carries,prior_i5_carries,prior_i20_targets,prior_i10_targets,prior_i20_share,prior_i10_share,prior_i5_share,prior_i20_rb_share,prior_i10_rb_share,prior_i5_rb_share,prior_i5_td_conversion,prior_team_i20_carries,prior_team_i10_carries,prior_team_i5_carries,prior_team_rb_i20_carries,prior_team_rb_i10_carries,prior_team_rb_i5_carries,prior_offensive_tds_per_game,prior_red_zone_trips,prior_i10_rush_rate,touch_share_delta,target_share_delta,i20_share_delta,i10_share_delta,i5_share_delta,i20_rb_share_delta,i10_rb_share_delta,i5_rb_share_delta,teammate_i5_delta,team_changed,head_coach_change
2022,Saquon Barkley,NYG,15.500000,11,2022-09-03,2022-09-04,1633,282.000000,17.625000,16.000000,5,6,227.591754,54.408246,225.184951,56.815049,1,162.000000,57.000000,203.000000,0.265707,0.100707,12.000000,6.000000,3.000000,3.000000,1.000000,0.240000,0.230769,0.187500,0.375000,0.375000,0.300000,0.333333,50.000000,26.000000,16.000000,32.000000,16.000000,10.000000,1.352941,47.000000,0.464286,0.230094,0.082850,0.180000,0.189103,0.131944,0.286765,0.325000,0.237500,-0.243056,0,0
2022,Nick Chubb,CLE,18.800000,12,2022-09-03,2022-09-04,1633,281.400000,16.552941,17.000000,6,6,224.144408,57.255592,211.988104,69.411896,1,228.000000,25.000000,248.000000,0.312343,0.049801,41.000000,22.000000,11.000000,1.000000,1.000000,0.445652,0.511628,0.478261,0.506173,0.564103,0.550000,0.363636,92.000000,43.000000,23.000000,81.000000,39.000000,20.000000,2.411765,64.000000,0.581081,0.053549,0.011339,0.043478,0.064819,0.033816,0.037818,0.025641,0.070000,-0.264090,0,0
2022,Javonte Williams,DEN,20.200000,13,2022-09-03,2022-09-04,1633,44.000000,11.000000,4.000000,73,-60,222.681897,-178.681897,217.831327,-173.831327,1,203.000000,53.000000,246.000000,0.306351,0.101923,31.000000,21.000000,10.000000,8.000000,3.000000,0.364706,0.466667,0.434783,0.418919,0.500000,0.476190,0.300000,85.000000,45.000000,23.000000,74.000000,42.000000,21.000000,2.117647,60.000000,0.562500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2022,Leonard Fournette,TB,21.900000,14,2022-09-03,2022-09-04,1633,228.100000,14.256250,16.000000,12,2,220.905992,7.194008,261.185717,-33.085717,1,180.000000,84.000000,249.000000,0.289535,0.117155,41.000000,25.000000,14.000000,18.000000,5.000000,0.569444,0.531915,0.538462,0.630769,0.625000,0.636364,0.428571,72.000000,47.000000,26.000000,65.000000,40.000000,22.000000,3.588235,86.000000,0.443396,0.113376,0.039852,0.246864,0.231915,0.129371,0.267133,0.282143,0.162679,-0.262238,0,0
2022,Ezekiel Elliott,DAL,27.700000,15,2022-09-03,2022-09-04,1633,185.800000,12.386667,15.000000,22,-7,214.847020,-29.047020,249.578940,-63.778940,1,240.000000,65.000000,287.000000,0.318182,0.101246,41.000000,20.000000,17.000000,17.000000,5.000000,0.512500,0.555556,0.607143,0.640625,0.833333,0.850000,0.411765,80.000000,36.000000,28.000000,64.000000,24.000000,20.000000,3.235294,91.000000,0.467532,-0.034550,-0.015071,-0.109122,-0.161836,-0.085165,-0.113473,-0.058559,-0.050000,0.086081,0,0
2022,James Conner,ARI,28.400000,16,2022-09-03,2022-09-04,1633,202.200000,15.553846,13.000000,19,-3,214.115765,-11.915765,221.516519,-19.316519,1,202.000000,39.000000,239.000000,0.267338,0.068182,42.000000,28.000000,18.000000,2.000000,0.000000,0.424242,0.509091,0.600000,0.646154,0.682927,0.782609,0.555556,99.000000,55.000000,30.000000,65.000000,41.000000,23.000000,2.941176,82.000000,0.572917,0.005799,0.002733,-0.025758,0.150117,0.266667,0.126923,0.271162,0.382609,-0.333333,0,1
2022,Cam Akers,LAR,33.100000,17,2022-09-03,2022-09-04,1633,145.300000,9.686667,15.000000,33,-16,209.205908,-63.905908,188.955866,-43.655866,1,5.000000,3.000000,8.000000,0.009889,0.004959,2.000000,0.000000,0.000000,1.000000,0.000000,0.024390,0.000000,0.000000,0.026667,0.000000,0.000000,0.000000,82.000000,40.000000,17.000000,75.000000,37.000000,16.000000,3.000000,80.000000,0.421053,-0.174074,-0.019908,-0.298526,-0.323077,-0.236842,-0.351382,-0.381818,-0.310345,0.239938,0,0
2022,Travis Etienne Jr.,JAX,33.600000,18,2022-09-03,2022-09-04,1633,208.900000,12.288235,17.000000,17,1,208.683583,0.216417,183.822133,25.077867,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2022,J.K. Dobbins,BAL,38.800000,19,2022-09-03,2022-09-04,1633,81.200000,10.150000,8.000000,52,-33,203.251401,-122.051401,179.347046,-98.147046,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.191250,-0.063613,-0.287129,-0.254545,-0.370370,-0.414286,-0.358974,-0.416667,-0.370370,0,1
2022,David Montgomery,CHI,39.300000,20,2022-09-03,2022-09-04,1633,181.700000,11.356250,16.000000,24,-4,202.729076,-21.029076,201.921145,-20.221145,1,225.000000,51.000000,267.000000,0.334586,0.096591,43.000000,24.000000,13.000000,8.000000,2.000000,0.505882,0.545455,0.541667,0.682540,0.727273,0.650000,0.461538,85.000000,44.000000,24.000000,63.000000,33.000000,20.000000,1.764706,59.000000,0.594595,-0.049637,-0.017121,-0.146895,-0.103194,-0.140152,-0.239029,-0.232727,-0.287500,0.075758,0,0
