season,adp_name,adp_team,adp_overall,ppr_points,ppr_ppg,adp_residual_ppr,workload_residual_ppr,touch_share_delta,target_share_delta,i20_share_delta,i10_share_delta,i5_share_delta,i20_rb_share_delta,i10_rb_share_delta,i5_rb_share_delta,teammate_i5_delta,head_coach_change,team_changed,two_year_available,role_change_category
2023,Isiah Pacheco,KC,79.200000,215.900000,15.421429,61.378022,52.339244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2023,James Cook III,BUF,77.600000,236.700000,13.923529,80.366938,85.103616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2023,AJ Dillon,GB,91.700000,117.600000,7.840000,-22.772881,-6.495784,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2024,Tyrone Tracy Jr.,NYG,174.000000,186.300000,10.958824,127.595717,118.470125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2024,Jaylen Wright,MIA,156.600000,28.700000,2.207692,-47.564202,-51.647652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2024,Ray Davis,BUF,147.700000,116.100000,7.740000,30.854000,29.349577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2024,Jaleel McLaughlin,DEN,126.600000,99.200000,6.200000,-7.339926,-13.733382,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2024,Zach Charbonnet,SEA,130.700000,182.100000,10.711765,79.697756,63.263801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2024,De'Von Achane,MIA,21.400000,299.900000,17.641176,87.193204,93.280593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2024,MarShawn Lloyd,GB,159.100000,2.800000,2.800000,-70.941225,-75.749121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2024,Rico Dowdle,DAL,118.900000,201.800000,12.612500,87.489305,64.667142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2022,Jamaal Williams,DET,121.700000,227.900000,13.405882,111.250110,100.601307,0.026807,-0.020824,0.099458,0.011494,-0.023810,0.105374,0.016194,-0.015385,-0.095238,1,0,1,STABLE
2023,Alexander Mattison,MIN,56.900000,137.200000,8.575000,-42.563967,-36.712512,-0.092637,-0.039219,-0.155556,-0.033333,-0.049451,-0.135091,0.003289,-0.026087,-0.046703,1,0,1,STABLE
2022,Alvin Kamara,NO,10.900000,219.700000,14.646667,-12.697145,-3.442664,0.045030,-0.070049,0.132071,0.148387,0.166667,0.133562,0.135255,-0.033333,-0.133333,0,0,1,STABLE
2025,Najee Harris,FA,153.900000,11.600000,3.866667,-67.441271,-61.873936,-0.005264,0.025707,-0.068051,-0.084772,-0.083916,0.025446,0.014706,-0.039216,-0.034965,0,1,1,STABLE
2024,Najee Harris,PIT,67.100000,204.600000,12.035294,38.013223,33.354546,-0.004865,-0.017999,0.077977,0.065385,0.083916,0.003125,-0.008621,-0.044118,0.034965,0,0,1,STABLE
2023,Joe Mixon,CIN,31.400000,265.000000,15.588235,56.371875,38.241132,-0.074253,0.036811,-0.213333,-0.160757,-0.202381,-0.195789,-0.127778,-0.049708,0.142857,0,0,1,STABLE
2022,Ezekiel Elliott,DAL,27.700000,185.800000,12.386667,-29.047020,-63.778940,-0.034550,-0.015071,-0.109122,-0.161836,-0.085165,-0.113473,-0.058559,-0.050000,0.086081,0,0,1,STABLE
2025,David Montgomery,HOU,60.300000,162.800000,9.576471,-7.255908,12.324179,-0.022580,0.031207,-0.071598,0.006955,-0.066239,-0.082101,-0.004177,-0.058824,0.130342,0,1,1,STABLE
2024,Jordan Mason,SF,149.100000,116.900000,9.741667,33.066867,17.773859,0.000900,0.008493,0.008015,0.000627,-0.029412,-0.003788,-0.014054,-0.060755,0.205882,0,0,1,STABLE
2022,Dalvin Cook,MIN,7.500000,245.800000,14.458824,9.851044,0.052769,-0.102552,-0.025419,-0.086869,-0.007164,-0.036630,-0.103922,-0.050000,-0.063590,0.049451,0,0,1,STABLE
2025,Javonte Williams,DAL,116.300000,246.800000,15.425000,131.197294,128.457870,-0.111148,0.004356,-0.164831,-0.093240,-0.037879,-0.204741,-0.131422,-0.069444,0.022727,0,1,1,STABLE
