season,adp_name,adp_team,adp_overall,ppr_points,ppr_ppg,adp_residual_ppr,workload_residual_ppr,touch_share_delta,target_share_delta,i20_share_delta,i10_share_delta,i5_share_delta,i20_rb_share_delta,i10_rb_share_delta,i5_rb_share_delta,teammate_i5_delta,head_coach_change,team_changed,two_year_available,role_change_category
2024,Alexander Mattison,LV,160.700000,137.400000,9.814286,65.273480,58.823981,0.153239,0.044581,0.244444,0.161905,0.419643,0.358621,0.284211,0.518395,-0.419643,0,1,1,RISING
2022,Cordarrelle Patterson,ATL,91.400000,150.700000,11.592308,2.397205,-9.820747,0.161240,0.082518,0.388889,0.284220,0.346591,0.422085,0.365217,0.511364,-0.369318,1,0,1,RISING
2023,Raheem Mostert,MIA,122.800000,269.700000,17.980000,164.530073,152.258168,0.282917,0.074468,0.411765,0.380952,0.357143,0.552632,0.470588,0.500000,-0.035714,1,0,1,RISING
2025,James Cook III,BUF,33.700000,308.200000,18.129412,112.278821,121.230289,-0.022393,-0.021927,0.127952,0.202083,0.325893,0.153318,0.285976,0.476190,-0.056250,0,0,1,RISING
2025,Bijan Robinson,ATL,2.100000,374.800000,22.047059,148.151657,140.233388,0.108179,-0.034964,0.400669,0.361950,0.479167,0.372578,0.285714,0.470000,-0.178241,1,0,1,RISING
2025,Tank Bigsby,PHI,134.300000,53.800000,5.380000,-44.299891,-26.733473,0.173263,0.016127,0.373239,0.410714,0.357143,0.391919,0.457647,0.459559,-0.391775,0,1,1,RISING
2023,Rhamondre Stevenson,NE,23.400000,147.700000,12.308333,-69.983548,-60.786869,0.190996,0.138193,0.263604,0.378064,0.385714,0.328028,0.454082,0.452381,-0.371429,0,0,1,RISING
2024,Tony Pollard,TEN,81.700000,202.700000,12.668750,50.847408,45.094718,0.086250,0.009465,0.266176,0.310440,0.340741,0.375566,0.467308,0.450769,-0.570370,0,1,1,RISING
2023,Jamaal Williams,NO,104.200000,60.800000,4.676923,-65.423783,-80.534428,0.105008,-0.020668,0.161429,0.373922,0.433555,0.186813,0.369483,0.444653,-0.312292,0,1,1,RISING
2023,Derrick Henry,TEN,17.900000,238.100000,14.005882,14.190850,31.289632,0.237669,0.055581,0.388235,0.400433,0.419103,0.399930,0.454545,0.444444,-0.101365,0,0,1,RISING
2025,Rhamondre Stevenson,NE,119.700000,180.800000,12.914286,68.503381,55.394538,0.053099,-0.008609,0.172671,0.220690,0.298246,0.265036,0.328947,0.425000,-0.397661,1,0,1,RISING
2024,Javonte Williams,DEN,77.500000,161.900000,9.523529,5.808807,5.948552,0.262560,0.080481,0.445649,0.349248,0.354545,0.487500,0.362903,0.425000,-0.172727,1,0,1,RISING
2023,Khalil Herbert,CHI,94.400000,112.500000,9.375000,-24.816676,-9.535863,0.032837,0.002755,0.091382,0.076840,0.208333,0.142857,0.134199,0.421429,-0.125000,1,0,1,RISING
2025,Nick Chubb,FA,136.100000,88.300000,5.886667,-8.049610,4.403066,0.100005,0.010483,0.307692,0.259868,0.333333,0.380952,0.322115,0.400000,-0.146667,0,1,1,RISING
2023,D'Onta Foreman,CHI,137.100000,91.200000,10.133333,2.216640,9.552980,0.121304,-0.000004,0.191176,0.222222,0.301587,0.276836,0.273810,0.400000,-0.227513,1,1,1,RISING
2025,Jordan Mason,MIN,104.900000,130.900000,8.181250,4.212178,26.851077,0.152236,0.018745,0.295815,0.303571,0.280933,0.422055,0.447179,0.394089,-0.356998,0,1,1,RISING
2022,James Conner,ARI,28.400000,202.200000,15.553846,-11.915765,-19.316519,0.005799,0.002733,-0.025758,0.150117,0.266667,0.126923,0.271162,0.382609,-0.333333,1,0,1,RISING
2025,Aaron Jones Sr.,MIN,63.200000,120.700000,10.058333,-46.536010,-54.159864,0.170225,0.043179,0.245256,0.388889,0.345652,0.309942,0.455172,0.375817,-0.284783,1,0,1,RISING
2022,Jonathan Taylor,IND,1.300000,152.400000,13.854545,-90.025788,-87.381039,0.127829,0.030141,0.294775,0.309796,0.333333,0.334284,0.363636,0.375149,-0.107639,0,0,1,RISING
2023,Miles Sanders,CAR,52.900000,91.600000,5.725000,-92.691678,-96.148473,0.126375,-0.020803,0.198627,0.202857,0.153409,0.357911,0.393636,0.374194,0.162879,0,1,1,RISING
2025,J.K. Dobbins,DEN,94.000000,115.900000,11.590000,-21.386749,3.084841,0.279357,0.070634,0.373866,0.337773,0.292017,0.429524,0.383023,0.340517,-0.420168,1,1,1,RISING
2024,Alvin Kamara,NO,32.300000,265.300000,18.950000,63.593383,40.159056,-0.055980,-0.005814,0.028707,0.150649,0.232804,0.076754,0.134615,0.323529,0.010582,0,0,1,RISING
2022,Devin Singletary,BUF,74.400000,183.900000,11.493750,17.838150,-4.495268,0.022338,-0.007515,0.088636,0.110345,0.139785,0.163380,0.192308,0.315385,0.061828,0,0,1,RISING
2023,Devin Singletary,HOU,130.700000,163.100000,10.193750,66.872303,62.827230,0.011518,0.014458,0.079402,0.137024,0.121212,0.122894,0.239130,0.293706,0.037879,0,1,1,RISING
2024,Jerome Ford,CLE,98.500000,134.000000,9.571429,-0.898187,-47.821602,0.278319,0.105175,0.230769,0.315789,0.240000,0.285714,0.375000,0.285714,-0.139048,0,0,1,RISING
2024,David Montgomery,DET,54.600000,219.600000,15.685714,40.398338,19.471486,-0.040654,-0.068742,0.099978,0.127244,0.361111,-0.025850,-0.027569,0.273109,-0.111111,1,0,1,RISING
2022,Damien Harris,NE,59.800000,90.900000,8.263636,-90.413745,-90.316293,0.079618,0.023297,0.254646,0.410816,0.483193,0.139847,0.219388,0.271429,-0.491597,0,0,1,RISING
2024,Zack Moss,CIN,74.400000,83.900000,10.487500,-75.319685,-49.959251,0.159205,0.062204,0.193514,0.234687,0.188172,0.241935,0.303333,0.263975,-0.112903,1,1,1,RISING
2022,Rashaad Penny,SEA,63.300000,52.200000,10.440000,-125.457469,-109.450689,0.157401,0.016807,0.289776,0.256303,0.222222,0.322127,0.274359,0.250000,-0.125604,0,0,1,RISING
2023,Jerick McKinnon,KC,111.300000,80.200000,6.683333,-37.987096,-63.546855,0.123311,0.085346,0.200910,0.155556,0.172414,0.270772,0.212121,0.250000,-0.215172,0,0,1,RISING
2024,Raheem Mostert,MIA,64.100000,74.900000,6.809091,-94.714350,-108.783915,-0.004080,-0.016392,0.088235,0.219048,0.309524,-0.012402,0.176471,0.240741,-0.047619,0,0,1,RISING
2024,James Cook III,BUF,30.300000,266.700000,16.668750,62.975002,45.950648,0.178656,0.040569,0.143854,0.175987,0.142857,0.223359,0.265111,0.238095,-0.054545,0,0,1,RISING
2022,Saquon Barkley,NYG,15.500000,282.000000,17.625000,54.408246,56.815049,0.230094,0.082850,0.180000,0.189103,0.131944,0.286765,0.325000,0.237500,-0.243056,0,0,1,RISING
2025,Zach Charbonnet,SEA,99.400000,179.400000,11.212500,47.364095,27.562920,0.036282,0.018049,0.092494,0.134363,0.203416,0.115750,0.125000,0.234286,-0.223602,1,0,1,RISING
2024,Austin Ekeler,WAS,88.000000,132.300000,11.025000,-13.194690,-14.854014,-0.079543,-0.064000,-0.234611,-0.098246,0.042593,-0.131410,0.041558,0.230994,-0.014815,0,1,1,RISING
2024,Ty Chandler,MIN,130.300000,28.400000,2.840000,-74.405920,-97.906432,0.144539,0.041186,0.203704,0.178571,0.187500,0.275000,0.250000,0.230769,-0.044643,0,0,1,RISING
2022,Antonio Gibson,WAS,114.700000,165.900000,11.060000,41.937558,20.041260,0.098063,0.022124,0.164028,0.127033,0.156250,0.255128,0.222222,0.220000,-0.125000,0,0,1,RISING
2024,Isiah Pacheco,KC,19.800000,56.900000,8.128571,-157.421501,-163.485768,0.088891,0.059113,0.303201,0.232975,0.369458,0.312121,0.118077,0.214286,-0.064039,0,0,1,RISING
2024,Zamir White,LV,67.800000,33.300000,4.162500,-132.580344,-127.470337,0.137380,0.035647,0.196796,0.184211,0.157895,0.240702,0.218750,0.214286,-0.340351,0,0,1,RISING
2024,James Conner,ARI,47.600000,251.800000,15.737500,65.534002,57.000191,0.021960,-0.026381,0.206280,0.109649,0.152174,0.235465,0.194805,0.208333,-0.046584,1,0,1,RISING
2025,Tyjae Spears,TEN,139.000000,111.700000,8.592308,18.170288,3.954581,-0.061959,-0.077510,-0.005952,0.074519,0.220779,0.010833,0.100313,0.205742,-0.216450,1,0,1,RISING
2024,Brian Robinson,WAS,97.900000,163.800000,11.700000,28.296299,9.071238,0.036001,0.049041,0.170370,0.174419,0.075000,0.247222,0.288235,0.192857,-0.216667,0,0,1,RISING
2025,Jonathan Taylor,IND,18.500000,362.300000,21.311765,151.598666,163.007159,0.186457,0.021011,0.222603,0.261450,0.125724,0.325000,0.361111,0.192547,-0.072787,0,0,1,RISING
2025,Chuba Hubbard,CAR,40.200000,127.400000,8.493333,-62.200718,-56.445289,0.046387,0.021803,0.076459,0.059524,0.147510,0.059661,0.143529,0.192500,-0.118774,1,0,1,RISING
2023,Christian McCaffrey,SF,2.400000,395.300000,24.706250,153.845969,3.709911,0.084473,0.058034,0.053597,0.114035,0.187166,0.089697,0.111969,0.190476,-0.096257,1,0,1,RISING
2022,Darrell Henderson Jr.,JAX,111.900000,0.000000,0.000000,-126.887463,-127.870676,0.038421,0.023487,-0.016260,0.001923,0.239938,-0.043577,-0.030467,0.183190,0.174923,0,1,1,RISING
2025,Breece Hall,NYJ,47.500000,207.500000,12.968750,24.997646,5.179366,-0.044268,-0.040494,-0.017460,0.037152,0.446154,-0.311538,-0.194444,0.179487,-0.046154,0,0,1,RISING
2022,Chase Edmonds,DEN,69.600000,0.000000,0.000000,-171.076172,-169.632454,0.002823,-0.029829,0.047381,0.161578,0.135417,0.096425,0.213736,0.173913,-0.087500,0,1,1,RISING
2023,Nick Chubb,CLE,12.500000,23.100000,11.550000,-206.921560,-220.101182,0.074074,0.023034,0.079348,0.055940,0.140787,0.111474,0.072261,0.172222,0.020704,0,0,1,RISING
2023,Tony Pollard,DAL,15.200000,222.600000,13.094118,-4.365355,-13.248369,0.078389,0.027524,0.102632,0.202381,0.187831,0.103846,0.182692,0.169231,0.096561,0,0,1,RISING
2024,Jaylen Warren,PIT,79.600000,126.100000,8.406667,-27.871893,-25.990395,0.143353,0.092372,0.093607,0.105128,0.150350,0.080208,0.112069,0.169118,0.083916,0,0,1,RISING
2024,Elijah Mitchell,SF,129.800000,0.000000,0.000000,-103.310515,-115.542104,0.041695,0.009049,0.033569,0.091479,0.176471,0.000000,0.050811,0.167488,0.205882,0,0,1,RISING
2024,Saquon Barkley,PHI,11.300000,351.300000,21.956250,128.400377,180.201884,-0.044961,-0.030614,0.118454,0.148033,0.400000,0.079315,0.122222,0.166667,-0.240000,0,1,1,RISING
2024,Breece Hall,NYJ,2.200000,240.900000,15.056250,8.816741,12.601164,0.273034,0.115719,0.357143,0.347059,0.050000,0.655416,0.507576,0.166667,0.000000,0,0,1,RISING
2022,Leonard Fournette,TB,21.900000,228.100000,14.256250,7.194008,-33.085717,0.113376,0.039852,0.246864,0.231915,0.129371,0.267133,0.282143,0.162679,-0.262238,0,0,1,RISING
2024,Aaron Jones Sr.,MIN,46.000000,247.600000,14.564706,59.719297,96.509305,-0.123691,-0.057926,-0.082600,-0.043651,0.090062,-0.072222,0.011494,0.158120,-0.279503,0,1,1,RISING
2025,Jahmyr Gibbs,DET,5.100000,368.600000,21.682353,144.868793,138.035448,0.065884,-0.003893,0.102487,0.049677,0.130342,0.107658,0.044277,0.148693,-0.066239,0,0,1,STABLE
2023,Josh Jacobs,LV,21.900000,183.100000,14.084615,-36.281439,-52.550453,0.177863,0.008297,0.278423,0.273810,0.275758,0.286250,0.188889,0.144444,-0.003030,1,0,1,STABLE
2025,Kyren Williams,LAR,23.100000,267.300000,15.723529,61.071608,62.181116,0.122540,-0.012338,0.131656,0.132826,0.093596,0.116816,0.122872,0.133333,-0.028325,0,0,1,STABLE
2025,Derrick Henry,BAL,11.100000,285.500000,16.794118,67.603064,77.170850,-0.019725,-0.027122,-0.031501,-0.038889,0.107660,0.090705,0.086700,0.110276,-0.055901,1,0,1,STABLE
2025,Kareem Hunt,FA,173.800000,147.400000,8.670588,87.709064,78.615966,0.095417,0.020691,0.075672,0.205263,0.127143,0.105983,0.197917,0.108571,-0.097143,1,1,1,STABLE
2023,Samaje Perine,DEN,99.300000,125.300000,7.370588,-6.470230,-5.356457,0.067656,0.028052,0.206667,0.121158,0.071429,0.275789,0.161111,0.105263,-0.202381,0,1,1,STABLE
2024,Joe Mixon,HOU,35.000000,240.500000,17.178571,41.518199,67.536433,0.052580,-0.015597,0.246234,0.209066,0.232857,0.196386,0.144444,0.105263,-0.125714,0,1,1,STABLE
2022,Christian McCaffrey,SF,2.400000,351.000000,31.909091,109.723327,137.409946,0.072455,0.035017,0.110476,0.049342,-0.037549,0.164615,0.171429,0.098039,-0.205534,0,1,1,STABLE
2024,Christian McCaffrey,SF,1.400000,49.800000,12.450000,-183.090612,-166.509832,0.162245,0.047253,0.312117,0.256266,0.205882,0.268939,0.139459,0.096880,0.088235,0,0,1,STABLE
2025,Alvin Kamara,NO,29.700000,104.700000,9.518182,-95.110694,-99.525635,0.084826,0.021084,0.112930,0.112023,0.128540,0.012531,0.022727,0.093137,-0.119826,0,0,1,STABLE
2025,Josh Jacobs,GB,16.600000,241.100000,16.073333,28.551147,40.200840,0.049947,-0.009433,0.059275,0.145191,0.200957,0.059524,0.120192,0.085714,-0.006380,1,0,1,STABLE
2024,Tyler Allgeier,ATL,125.100000,104.200000,6.512500,-3.853712,-30.033309,-0.037531,0.004678,0.091801,-0.085681,0.030093,0.098464,-0.068681,0.083333,-0.108796,0,0,1,STABLE
2022,D'Andre Swift,DET,12.800000,187.700000,13.407143,-42.712309,-52.032769,0.041733,0.035896,0.075453,-0.035324,0.049261,0.072115,0.008443,0.082228,-0.160099,1,0,1,STABLE
2022,Nick Chubb,CLE,18.800000,281.400000,16.552941,57.255592,69.411896,0.053549,0.011339,0.043478,0.064819,0.033816,0.037818,0.025641,0.070000,-0.264090,0,0,1,STABLE
2023,Clyde Edwards-Helaire,KC,157.900000,70.100000,4.673333,4.660738,-11.145507,-0.055703,-0.000340,-0.043071,-0.055556,0.017931,-0.059140,-0.074291,0.050000,-0.215172,0,0,1,STABLE
2022,Alexander Mattison,MIN,128.900000,88.400000,5.200000,-20.728408,-39.398238,0.064431,0.036638,0.137374,0.091045,0.049451,0.141176,0.079167,0.046154,-0.036630,0,0,1,STABLE
2022,J.D. McKissic,WAS,110.200000,53.800000,6.725000,-74.863369,-84.696928,-0.101518,-0.090600,-0.115663,0.006606,0.031250,-0.125641,0.021242,0.044615,0.156250,0,0,1,STABLE
2024,Travis Etienne Jr.,JAX,17.600000,132.200000,8.813333,-84.341721,-114.267976,0.077467,0.042086,0.083083,0.035119,0.152381,-0.084734,-0.101429,0.034722,0.038095,0,0,1,STABLE
2023,Jaylen Warren,PIT,119.800000,200.400000,11.788235,91.834290,87.118893,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2023,Tyler Allgeier,ATL,125.000000,135.600000,7.976471,32.920314,29.102549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2023,Brian Robinson,WAS,94.200000,200.100000,13.340000,62.556939,44.786894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2023,Kenny Gainwell,PHI,131.100000,0.000000,0.000000,-95.774926,-87.609944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2023,De'Von Achane,MIA,117.800000,192.700000,17.518182,81.870434,92.773770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2023,Zach Charbonnet,SEA,107.200000,106.100000,6.631250,-16.728000,-3.642218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2023,Jerome Ford,CLE,157.400000,211.200000,12.423529,145.194774,148.232413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2023,Jeff Wilson Jr.,MIA,133.200000,41.300000,5.162500,-52.097878,-44.365267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2023,Tank Bigsby,JAX,137.700000,26.800000,2.061538,-61.504203,-54.698102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2023,Tyjae Spears,TEN,150.900000,153.800000,9.047059,80.437244,84.525580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2023,Roschon Johnson,CHI,157.700000,102.100000,6.806667,36.434352,39.122629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2023,Zamir White,LV,153.700000,75.900000,5.838462,5.706641,8.828964,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2022,Najee Harris,PIT,7.100000,227.700000,13.394118,-8.666816,-46.590747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2022,Tyler Allgeier,ATL,107.600000,157.400000,9.837500,26.020540,37.261793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2022,AJ Dillon,GB,48.700000,0.000000,0.000000,-192.909363,-170.827170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2022,James Cook III,BUF,92.000000,107.700000,7.180000,-39.976005,-25.863467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2022,Tony Pollard,DAL,70.800000,248.800000,15.550000,78.977409,58.114062,0.034155,0.008588,0.010811,-0.003623,-0.005495,0.020492,0.016892,0.000000,-0.085165,0,0,1,STABLE
2022,Rhamondre Stevenson,NE,76.000000,251.100000,14.770588,86.709590,87.917036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2022,Breece Hall,NYJ,44.400000,117.100000,16.728571,-80.301359,-57.427722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2022,Kenneth Walker,SEA,92.900000,202.500000,13.500000,55.764181,69.711067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2022,Kenny Gainwell,PHI,105.800000,0.000000,0.000000,-133.259830,-121.687275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2022,Dameon Pierce,HOU,70.500000,170.400000,13.107692,0.264014,18.333771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2025,Jaylen Wright,MIA,171.800000,50.200000,5.577778,-11.435693,-32.362033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2025,Woody Marks,HOU,157.300000,145.100000,9.068750,69.364817,75.670658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2025,Keaton Mitchell,LAC,174.300000,55.400000,4.616667,-3.804747,8.148895,-0.046718,-0.020877,-0.035398,0.000000,0.000000,-0.053333,0.000000,0.000000,0.163683,0,1,1,STABLE
2025,Bhayshul Tuten,JAX,152.700000,90.600000,6.040000,10.391875,17.831496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2025,Kyle Monangai,CHI,156.800000,142.700000,8.918750,66.478627,72.907706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2025,Ray Davis,BUF,155.900000,58.100000,5.810000,-18.996513,-34.922030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2025,Ollie Gordon II,MIA,152.900000,54.100000,3.381250,-25.913649,-18.523323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2025,Jacory Croskey-Merritt,WAS,107.500000,144.300000,8.488235,20.140362,38.720595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2025,Will Shipley,PHI,151.200000,19.500000,2.437500,-62.166693,-72.686385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2025,Braelon Allen,NYJ,148.000000,17.300000,4.325000,-67.478304,-89.517262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2025,Quinshon Judkins,CLE,125.400000,167.800000,11.985714,61.045939,75.214293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2025,Trey Benson,ARI,142.200000,35.400000,8.850000,-55.018100,-66.061142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2025,Joe Mixon,FA,113.300000,0.000000,0.000000,-118.519842,-113.578890,-0.029344,-0.014548,-0.076579,-0.069989,0.002105,-0.035527,-0.064286,0.000000,-0.054737,1,1,1,STABLE
2025,Kaleb Johnson,PIT,79.200000,8.800000,0.880000,-142.877952,-117.322513,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2025,Dylan Sampson,CLE,146.400000,89.600000,5.973333,3.265890,12.258295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2025,Ashton Jeanty,LV,11.700000,247.100000,14.535294,29.786492,71.978908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2024,Jonathon Brooks,CAR,85.400000,7.500000,2.500000,-140.618586,-124.069822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
2024,Tyjae Spears,TEN,91.400000,113.600000,9.466667,-28.463441,-21.957550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,STABLE
