season,adp_name,adp_team,adp_overall,ppr_points,ppr_ppg,adp_residual_ppr,workload_residual_ppr,prior_carries,prior_targets,prior_touch_share,prior_i20_share,prior_i10_share,prior_i5_share,prior_highest_teammate_i20_name,prior_highest_teammate_i20_position,prior_highest_teammate_i20_share,prior_highest_teammate_i20_rush_tds,prior_highest_teammate_i10_name,prior_highest_teammate_i10_position,prior_highest_teammate_i10_share,prior_highest_teammate_i10_rush_tds,prior_highest_teammate_i5_name,prior_highest_teammate_i5_position,prior_highest_teammate_i5_share,prior_highest_teammate_i5_rush_tds,prior_highest_other_rb_i5_share,prior_non_rb_i10_share,prior_non_rb_i5_share,prior_qb_i5_share,prior_te_hybrid_i5_share,prior_short_yardage_specialist,prior_specialist_name,prior_specialist_position,prior_rb_i5_hhi
2024,Chuba Hubbard,CAR,108.800000,245.600000,16.373333,121.096478,99.918134,238.000000,44.000000,0.349306,0.571429,0.607143,0.611111,Miles Sanders,RB,0.174603,1.000000,Miles Sanders,RB,0.250000,1.000000,Miles Sanders,RB,0.222222,1.000000,0.222222,0.107143,0.111111,0.111111,0.000000,1.000000,Miles Sanders,RB,0.539062
2022,Nick Chubb,CLE,18.800000,281.400000,16.552941,57.255592,69.411896,228.000000,25.000000,0.312343,0.445652,0.511628,0.478261,D'Ernest Johnson,RB,0.206522,3.000000,Kareem Hunt,RB,0.186047,4.000000,Kareem Hunt,RB,0.217391,3.000000,0.217391,0.093023,0.130435,0.043478,0.086957,1.000000,Kareem Hunt,RB,0.380000
2024,James Conner,ARI,47.600000,251.800000,15.737500,65.534002,57.000191,210.000000,35.000000,0.287621,0.544118,0.526316,0.500000,Kyler Murray,QB,0.176471,3.000000,Kyler Murray,QB,0.236842,3.000000,Kyler Murray,QB,0.214286,2.000000,0.035714,0.421053,0.428571,0.285714,0.000000,1.000000,Kyler Murray,QB,0.773438
2022,Ezekiel Elliott,DAL,27.700000,185.800000,12.386667,-29.047020,-63.778940,240.000000,65.000000,0.318182,0.512500,0.555556,0.607143,Tony Pollard,RB,0.200000,1.000000,Dak Prescott,QB,0.277778,1.000000,Dak Prescott,QB,0.214286,1.000000,0.071429,0.333333,0.285714,0.214286,0.071429,1.000000,Dak Prescott,QB,0.735000
2023,Raheem Mostert,MIA,122.800000,269.700000,17.980000,164.530073,152.258168,181.000000,42.000000,0.285330,0.411765,0.380952,0.357143,Jeffery Wilson,RB,0.254902,3.000000,Jeffery Wilson,RB,0.333333,2.000000,Jeffery Wilson,RB,0.214286,2.000000,0.214286,0.190476,0.285714,0.000000,0.142857,1.000000,Jeffery Wilson,RB,0.380000
2022,Damien Harris,NE,59.800000,90.900000,8.263636,-90.413745,-90.316293,202.000000,21.000000,0.262843,0.464646,0.588235,0.571429,Rhamondre Stevenson,RB,0.252525,5.000000,Rhamondre Stevenson,RB,0.215686,5.000000,Rhamondre Stevenson,RB,0.214286,4.000000,0.214286,0.039216,0.000000,0.000000,0.000000,1.000000,Rhamondre Stevenson,RB,0.395408
2023,J.K. Dobbins,BAL,55.100000,11.700000,11.700000,-170.101437,-154.299487,92.000000,8.000000,0.122525,0.152174,0.170732,0.210526,Kenyan Drake,RB,0.217391,3.000000,Lamar Jackson,QB,0.219512,2.000000,Kenyan Drake,RB,0.210526,3.000000,0.210526,0.365854,0.368421,0.368421,0.000000,1.000000,Kenyan Drake,RB,0.277778
2023,Gus Edwards,BAL,160.600000,189.000000,11.117647,126.616943,118.844525,87.000000,2.000000,0.107673,0.152174,0.170732,0.105263,Kenyan Drake,RB,0.217391,3.000000,Lamar Jackson,QB,0.219512,2.000000,Kenyan Drake,RB,0.210526,3.000000,0.210526,0.365854,0.368421,0.368421,0.000000,1.000000,Kenyan Drake,RB,0.277778
2023,Isiah Pacheco,KC,79.200000,215.900000,15.421429,61.378022,52.339244,170.000000,14.000000,0.217857,0.348315,0.444444,0.344828,Jerick McKinnon,RB,0.224719,0.000000,Jerick McKinnon,RB,0.155556,0.000000,Patrick Mahomes,QB,0.206897,3.000000,0.172414,0.266667,0.310345,0.206897,0.103448,1.000000,Patrick Mahomes,QB,0.355000
2024,Kyren Williams,LAR,15.900000,278.100000,17.381250,59.842655,50.377713,229.000000,48.000000,0.313325,0.629213,0.634615,0.620690,Royce Freeman,RB,0.168539,1.000000,Royce Freeman,RB,0.173077,1.000000,Royce Freeman,RB,0.206897,1.000000,0.206897,0.096154,0.068966,0.034483,0.000000,1.000000,Royce Freeman,RB,0.506173
2023,Travis Etienne Jr.,JAX,34.700000,278.400000,16.376471,73.507236,59.385400,221.000000,45.000000,0.307692,0.494382,0.479167,0.466667,J.Robinson,UNK,0.191011,1.000000,Trevor Lawrence,QB,0.187500,5.000000,Trevor Lawrence,QB,0.200000,5.000000,0.100000,0.416667,0.400000,0.200000,0.033333,1.000000,Trevor Lawrence,QB,0.635802
2024,Breece Hall,NYJ,2.200000,240.900000,15.056250,8.816741,12.601164,224.000000,95.000000,0.404858,0.595238,0.647059,0.400000,D.Cook,UNK,0.190476,0.000000,D.Cook,UNK,0.117647,0.000000,D.Cook,UNK,0.200000,0.000000,0.200000,0.294118,0.400000,0.200000,0.000000,0.000000,,,0.555556
2022,Elijah Mitchell,SF,42.400000,43.600000,8.720000,-155.890660,-149.408812,207.000000,20.000000,0.272618,0.333333,0.282051,0.250000,Deebo Samuel,WR,0.238095,6.000000,Deebo Samuel,WR,0.230769,3.000000,Jeffery Wilson,RB,0.200000,2.000000,0.200000,0.384615,0.350000,0.300000,0.050000,1.000000,Jeffery Wilson,RB,0.278107
2022,Michael Carter,NYJ,113.300000,128.000000,8.000000,2.575047,-12.492043,148.000000,55.000000,0.251023,0.333333,0.340000,0.285714,Tevin Coleman,RB,0.166667,0.000000,Tevin Coleman,RB,0.180000,0.000000,Zach Wilson,QB,0.200000,3.000000,0.171429,0.280000,0.314286,0.200000,0.057143,1.000000,Zach Wilson,QB,0.305556
2023,Breece Hall,NYJ,36.600000,288.500000,16.970588,85.757899,96.789460,80.000000,31.000000,0.131824,0.238095,0.300000,0.350000,Michael Carter,RB,0.317460,3.000000,Michael Carter,RB,0.266667,3.000000,Michael Carter,RB,0.200000,2.000000,0.200000,0.266667,0.300000,0.250000,0.050000,1.000000,Michael Carter,RB,0.377551
2024,Brian Robinson,WAS,97.900000,163.800000,11.700000,28.296299,9.071238,179.000000,43.000000,0.281414,0.466667,0.500000,0.450000,Sam Howell,QB,0.166667,5.000000,Sam Howell,QB,0.214286,4.000000,Sam Howell,QB,0.200000,2.000000,0.150000,0.285714,0.300000,0.250000,0.050000,1.000000,Sam Howell,QB,0.469388
2023,Cam Akers,MIN,63.100000,46.700000,7.783333,-126.046015,-105.534681,188.000000,18.000000,0.269437,0.509091,0.538462,0.533333,D.Henderson,UNK,0.181818,3.000000,D.Henderson,UNK,0.269231,3.000000,Malcolm Brown,RB,0.200000,0.000000,0.200000,0.346154,0.266667,0.066667,0.000000,1.000000,Malcolm Brown,RB,0.603306
