season,adp_name,adp_team,adp_overall,ppr_points,ppr_ppg,adp_residual_ppr,workload_residual_ppr,prior_carries,prior_targets,prior_touch_share,prior_i20_share,prior_i10_share,prior_i5_share,prior_highest_teammate_i20_name,prior_highest_teammate_i20_position,prior_highest_teammate_i20_share,prior_highest_teammate_i20_rush_tds,prior_highest_teammate_i10_name,prior_highest_teammate_i10_position,prior_highest_teammate_i10_share,prior_highest_teammate_i10_rush_tds,prior_highest_teammate_i5_name,prior_highest_teammate_i5_position,prior_highest_teammate_i5_share,prior_highest_teammate_i5_rush_tds,prior_highest_other_rb_i5_share,prior_non_rb_i10_share,prior_non_rb_i5_share,prior_qb_i5_share,prior_te_hybrid_i5_share,prior_short_yardage_specialist,prior_specialist_name,prior_specialist_position,prior_rb_i5_hhi
2025,Rhamondre Stevenson,NE,119.700000,180.800000,12.914286,68.503381,55.394538,207.000000,43.000000,0.307692,0.585714,0.620690,0.631579,Antonio Gibson,RB,0.214286,1.000000,Antonio Gibson,RB,0.172414,0.000000,Antonio Gibson,RB,0.157895,0.000000,0.157895,0.172414,0.210526,0.210526,0.000000,0.000000,,,0.680000
2025,Breece Hall,NYJ,47.500000,207.500000,12.968750,24.997646,5.179366,212.000000,76.000000,0.360590,0.577778,0.684211,0.846154,Braelon Allen,RB,0.244444,2.000000,Braelon Allen,RB,0.263158,1.000000,Braelon Allen,RB,0.153846,1.000000,0.153846,0.052632,0.000000,0.000000,0.000000,0.000000,,,0.739645
2025,Josh Jacobs,GB,16.600000,241.100000,16.073333,28.551147,40.200840,303.000000,43.000000,0.410909,0.610000,0.724138,0.727273,Emanuel Wilson,RB,0.140000,3.000000,Emanuel Wilson,RB,0.137931,3.000000,Emanuel Wilson,RB,0.151515,3.000000,0.151515,0.103448,0.090909,0.090909,0.000000,0.000000,,,0.668889
2025,Aaron Jones Sr.,MIN,63.200000,120.700000,10.058333,-46.536010,-54.159864,255.000000,62.000000,0.384422,0.632353,0.666667,0.650000,Cam Akers,RB,0.117647,1.000000,Sam Darnold,QB,0.111111,1.000000,Cam Akers,RB,0.150000,1.000000,0.150000,0.166667,0.150000,0.100000,0.050000,0.000000,,,0.619377
2024,Gus Edwards,LAC,100.600000,64.100000,5.827273,-68.678886,-44.906348,199.000000,13.000000,0.246208,0.353982,0.508197,0.705882,Lamar Jackson,QB,0.283186,5.000000,Lamar Jackson,QB,0.213115,5.000000,Lamar Jackson,QB,0.147059,1.000000,0.117647,0.245902,0.147059,0.147059,0.000000,0.000000,,,0.705113
2023,D'Onta Foreman,CHI,137.100000,91.200000,10.133333,2.216640,9.552980,204.000000,9.000000,0.279786,0.450000,0.472222,0.523810,Chuba Hubbard,RB,0.200000,2.000000,Chuba Hubbard,RB,0.138889,1.000000,C.McCaffrey,UNK,0.142857,1.000000,0.095238,0.222222,0.285714,0.142857,0.000000,0.000000,,,0.564444
2022,Joe Mixon,CIN,10.100000,239.500000,17.107143,6.267135,7.324585,294.000000,48.000000,0.414303,0.733333,0.777778,0.809524,Joe Burrow,QB,0.116667,2.000000,Joe Burrow,QB,0.138889,2.000000,Joe Burrow,QB,0.142857,0.000000,0.047619,0.166667,0.142857,0.142857,0.000000,0.000000,,,0.895062
2025,Kareem Hunt,FA,173.800000,147.400000,8.670588,87.709064,78.615966,200.000000,32.000000,0.268029,0.524390,0.600000,0.607143,Carson Steele,RB,0.121951,0.000000,Carson Steele,RB,0.150000,0.000000,Carson Steele,RB,0.142857,0.000000,0.142857,0.100000,0.107143,0.035714,0.071429,0.000000,,,0.504000
2024,Derrick Henry,BAL,15.900000,338.400000,19.905882,120.142655,184.075484,280.000000,36.000000,0.420191,0.660714,0.750000,0.761905,Tyjae Spears,RB,0.196429,2.000000,Tyjae Spears,RB,0.156250,1.000000,Tyjae Spears,RB,0.142857,1.000000,0.142857,0.093750,0.095238,0.095238,0.000000,0.000000,,,0.734072
2024,Isiah Pacheco,KC,19.800000,56.900000,8.128571,-157.421501,-163.485768,206.000000,49.000000,0.306748,0.651515,0.677419,0.714286,Clyde Edwards-Helaire,RB,0.106061,1.000000,Clyde Edwards-Helaire,RB,0.161290,1.000000,La'Mical Perine,RB,0.142857,0.000000,0.142857,0.064516,0.000000,0.000000,0.000000,0.000000,,,0.551020
2022,Josh Jacobs,LV,46.800000,330.300000,19.429412,135.405801,116.463302,217.000000,64.000000,0.325330,0.493506,0.583333,0.590909,Kenyan Drake,RB,0.155844,2.000000,Peyton Barber,RB,0.138889,2.000000,Peyton Barber,RB,0.136364,2.000000,0.136364,0.166667,0.181818,0.181818,0.000000,0.000000,,,0.555556
2024,Tony Pollard,TEN,81.700000,202.700000,12.668750,50.847408,45.094718,253.000000,67.000000,0.352000,0.568807,0.596154,0.600000,Rico Dowdle,RB,0.146789,2.000000,Dak Prescott,QB,0.153846,1.000000,Rico Dowdle,RB,0.133333,2.000000,0.133333,0.230769,0.166667,0.100000,0.066667,0.000000,,,0.552000
2023,Josh Jacobs,LV,21.900000,183.100000,14.084615,-36.281439,-52.550453,341.000000,64.000000,0.503193,0.771930,0.857143,0.866667,Derek Carr,QB,0.070175,0.000000,Brandon Bolden,RB,0.071429,0.000000,Brandon Bolden,RB,0.133333,0.000000,0.133333,0.035714,0.000000,0.000000,0.000000,0.000000,,,0.768889
2025,James Conner,ARI,42.300000,33.300000,11.100000,-154.258723,-159.249183,239.000000,55.000000,0.343337,0.658537,0.705882,0.652174,Kyler Murray,QB,0.158537,3.000000,Kyler Murray,QB,0.117647,1.000000,Kyler Murray,QB,0.130435,1.000000,0.130435,0.176471,0.173913,0.130435,0.043478,0.000000,,,0.650970
2022,Najee Harris,PIT,7.100000,227.700000,13.394118,-8.666816,-46.590747,307.000000,94.000000,0.463504,0.725000,0.739130,0.647059,Ben Roethlisberger,QB,0.075000,1.000000,Ben Roethlisberger,QB,0.086957,1.000000,Ben Roethlisberger,QB,0.117647,1.000000,0.000000,0.260870,0.352941,0.117647,0.235294,0.000000,,,1.000000
2023,Jamaal Williams,NO,104.200000,60.800000,4.676923,-65.423783,-80.534428,263.000000,16.000000,0.322770,0.590000,0.718750,0.790698,D'Andre Swift,RB,0.250000,5.000000,D'Andre Swift,RB,0.187500,4.000000,D'Andre Swift,RB,0.116279,2.000000,0.116279,0.046875,0.046512,0.023256,0.023256,0.000000,,,0.704938
2022,Jonathan Taylor,IND,1.300000,152.400000,13.854545,-90.025788,-87.381039,332.000000,52.000000,0.458693,0.816514,0.820000,0.833333,Carson Wentz,QB,0.064220,1.000000,Carson Wentz,QB,0.100000,1.000000,Carson Wentz,QB,0.111111,1.000000,0.027778,0.120000,0.138889,0.138889,0.000000,0.000000,,,0.937565
2022,Austin Ekeler,LAC,2.700000,377.300000,22.194118,136.336722,95.583444,208.000000,95.000000,0.325527,0.505051,0.551020,0.642857,Justin Jackson,RB,0.212121,2.000000,Justin Jackson,RB,0.183673,1.000000,Justin Jackson,RB,0.107143,0.000000,0.107143,0.122449,0.107143,0.107143,0.000000,0.000000,,,0.545600
2025,Joe Mixon,FA,113.300000,0.000000,0.000000,-118.519842,-113.578890,247.000000,52.000000,0.363286,0.689655,0.756098,0.842105,C.J. Stroud,QB,0.080460,0.000000,C.J. Stroud,QB,0.073171,0.000000,C.J. Stroud,QB,0.105263,0.000000,0.000000,0.146341,0.157895,0.105263,0.000000,0.000000,,,1.000000
2025,Chuba Hubbard,CAR,40.200000,127.400000,8.493333,-62.200718,-56.445289,251.000000,54.000000,0.395693,0.647887,0.666667,0.758621,Bryce Young,QB,0.140845,5.000000,Bryce Young,QB,0.166667,5.000000,Bryce Young,QB,0.103448,2.000000,0.068966,0.190476,0.137931,0.103448,0.034483,0.000000,,,0.782400
2025,Derrick Henry,BAL,11.100000,285.500000,16.794118,67.603064,77.170850,325.000000,22.000000,0.400466,0.629213,0.711111,0.869565,Lamar Jackson,QB,0.235955,3.000000,Lamar Jackson,QB,0.200000,3.000000,Lamar Jackson,QB,0.086957,0.000000,0.043478,0.222222,0.086957,0.086957,0.000000,0.000000,,,0.909297
2022,Travis Etienne Jr.,JAX,33.600000,208.900000,12.288235,0.216417,25.077867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2022,J.K. Dobbins,BAL,38.800000,81.200000,10.150000,-122.051401,-98.147046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2022,Breece Hall,NYJ,44.400000,117.100000,16.728571,-80.301359,-57.427722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2022,AJ Dillon,GB,48.700000,0.000000,0.000000,-192.909363,-170.827170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2022,Dameon Pierce,HOU,70.500000,170.400000,13.107692,0.264014,18.333771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2022,James Cook III,BUF,92.000000,107.700000,7.180000,-39.976005,-25.863467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2022,Kenneth Walker,SEA,92.900000,202.500000,13.500000,55.764181,69.711067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2022,Kenny Gainwell,PHI,105.800000,0.000000,0.000000,-133.259830,-121.687275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2022,Tyler Allgeier,ATL,107.600000,157.400000,9.837500,26.020540,37.261793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2022,Brian Robinson,WAS,112.700000,112.700000,9.391667,-13.351743,-3.049179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2022,Isiah Pacheco,KC,118.000000,139.000000,8.176471,18.484904,27.811967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2022,Rachaad White,TB,123.300000,144.100000,9.006250,29.121550,37.473113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2022,Zamir White,LV,130.500000,7.000000,0.636364,-100.456967,-93.430613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2023,Bijan Robinson,ATL,8.800000,252.300000,14.841176,18.090307,51.435784,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2023,Jahmyr Gibbs,DET,36.700000,244.100000,16.273333,41.471092,69.072205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2023,Kenneth Walker,SEA,47.900000,199.400000,13.293333,9.448683,0.392397,228.000000,35.000000,0.314039,0.750000,0.761905,1.000000,Geno Smith,QB,0.102941,1.000000,Travis Homer,RB,0.095238,0.000000,Nick Bellore,LB,0.000000,0.000000,0.000000,0.095238,0.000000,0.000000,0.000000,0.000000,,,1.000000
2023,AJ Dillon,GB,91.700000,117.600000,7.840000,-22.772881,-6.495784,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2023,Zach Charbonnet,SEA,107.200000,106.100000,6.631250,-16.728000,-3.642218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2023,De'Von Achane,MIA,117.800000,192.700000,17.518182,81.870434,92.773770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2023,Kenny Gainwell,PHI,131.100000,0.000000,0.000000,-95.774926,-87.609944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2023,Jeff Wilson Jr.,MIA,133.200000,41.300000,5.162500,-52.097878,-44.365267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2023,Tank Bigsby,JAX,137.700000,26.800000,2.061538,-61.504203,-54.698102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2023,Tyjae Spears,TEN,150.900000,153.800000,9.047059,80.437244,84.525580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2023,Roschon Johnson,CHI,157.700000,102.100000,6.806667,36.434352,39.122629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2024,Saquon Barkley,PHI,11.300000,351.300000,21.956250,128.400377,180.201884,248.000000,61.000000,0.367217,0.605634,0.695652,1.000000,Daniel Jones,QB,0.112676,1.000000,Tommy DeVito,QB,0.086957,1.000000,Tyrod Taylor,QB,0.000000,0.000000,0.000000,0.217391,0.000000,0.000000,0.000000,0.000000,,,1.000000
2024,Jonathon Brooks,CAR,85.400000,7.500000,2.500000,-140.618586,-124.069822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2024,Trey Benson,ARI,108.500000,47.000000,3.916667,-77.806279,-67.951393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2024,Blake Corum,LAR,110.300000,33.500000,2.392857,-89.489735,-80.156450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2024,Kimani Vidal,LAC,143.900000,32.700000,3.633333,-56.380925,-56.784191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2024,Ray Davis,BUF,147.700000,116.100000,7.740000,30.854000,29.349577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2024,Bucky Irving,TB,152.900000,246.400000,14.494118,166.401792,163.390522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2024,Jaylen Wright,MIA,156.600000,28.700000,2.207692,-47.564202,-51.647652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2024,MarShawn Lloyd,GB,159.100000,2.800000,2.800000,-70.941225,-75.749121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2024,Tyrone Tracy Jr.,NYG,174.000000,186.300000,10.958824,127.595717,118.470125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2025,Ashton Jeanty,LV,11.700000,247.100000,14.535294,29.786492,71.978908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2025,Omarion Hampton,LAC,38.600000,135.700000,15.077778,-55.456524,-19.894251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2025,TreVeyon Henderson,NE,50.300000,208.200000,12.247059,28.420306,61.098836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2025,RJ Harvey,DEN,61.900000,208.600000,12.270588,40.099898,69.919333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2025,Kaleb Johnson,PIT,79.200000,8.800000,0.880000,-142.877952,-117.322513,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2025,Jacory Croskey-Merritt,WAS,107.500000,144.300000,8.488235,20.140362,38.720595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2025,Quinshon Judkins,CLE,125.400000,167.800000,11.985714,61.045939,75.214293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2025,Cam Skattebo,NYG,129.200000,127.700000,15.962500,24.640978,37.872731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2025,Jaydon Blue,DAL,144.000000,20.400000,4.080000,-68.267819,-58.683877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2025,Dylan Sampson,CLE,146.400000,89.600000,5.973333,3.265890,12.258295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2025,Bhayshul Tuten,JAX,152.700000,90.600000,6.040000,10.391875,17.831496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2025,Ollie Gordon II,MIA,152.900000,54.100000,3.381250,-25.913649,-18.523323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2025,Kyle Monangai,CHI,156.800000,142.700000,8.918750,66.478627,72.907706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
2025,Woody Marks,HOU,157.300000,145.100000,9.068750,69.364817,75.670658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000
